,DBA,CUISINE DESCRIPTION,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50057294,SAUCE & BARREL,Italian,Manhattan,13-21,RECTOR ST,10006.0,40.707989664422,-74.013713406896,101.0,1.0,1300.0,1000794.0,1000187501.0,MN25
50057296,DUNKIN',Donuts,Queens,13705,20TH AVE,11356.0,40.781664120407,-73.830742604991,407.0,19.0,94500.0,4462123.0,4041430030.0,QN49
50057297,BLACK BURGER/ POKE BOWL/ 5 BOROUGHS PIZZA,American,Manhattan,386,CANAL ST,10013.0,40.721398581646,-74.004733199277,101.0,1.0,3300.0,1002739.0,1002120070.0,MN24
50057298,HANDCRAFT COFFEE,Café/Coffee/Tea,Manhattan,151,E 77TH ST,10075.0,40.773421170633995,-73.95932827347801,108.0,4.0,14000.0,1043195.0,1014120022.0,MN40
50057304,VINNIE'S PIZZERIA,Pizza/Italian,Queens,19901,32ND AVE,11358.0,40.769489776433,-73.790057320994,411.0,19.0,108500.0,4134022.0,4060220032.0,QN46
50057332,ANTICA,American,Manhattan,370,CANAL ST,10013.0,40.720992378584,-74.004152346825,101.0,1.0,3300.0,1088921.0,1002110029.0,MN24
50057335,SUN AND AIR,Café/Coffee/Tea,Brooklyn,788,DRIGGS AVE,11211.0,40.711480806524,-73.961346502132,301.0,34.0,55100.0,3338821.0,3024310029.0,BK73
50057361,LA DIAGONAL,Mexican,Manhattan,185,SAINT NICHOLAS AVE,10026.0,40.806089458904,-73.952831506554,110.0,9.0,22000.0,1058443.0,1019250005.0,MN11
50057373,NO.1 KITCHEN,Chinese,Brooklyn,770,WASHINGTON AVE,11238.0,40.674844185935,-73.963202810351,308.0,35.0,20700.0,3029196.0,3011660058.0,BK64
50057374,TRIA DINER,American,Manhattan,22,CHATHAM SQ,10038.0,40.713526664484,-73.997860934141,103.0,1.0,2700.0,1003385.0,1002790066.0,MN27
50057379,BRODO,Italian,Manhattan,496,HUDSON ST,10014.0,40.732805746584,-74.006433494364,102.0,3.0,7300.0,1009874.0,1005850047.0,MN23
50057380,THE BROOKLYN FIREFLY,Pizza/Italian,Brooklyn,7003,3RD AVE,11209.0,40.634715623379,-74.026431001172,310.0,43.0,6800.0,3146529.0,3058910021.0,BK31
50057386,CHOW HOUSE,Chinese,Manhattan,181,BLEECKER ST,10012.0,40.729015402899996,-74.000873144553,102.0,1.0,6500.0,1008713.0,1005400040.0,MN23
50057389,CHIPOTLE MEXICAN GRILL #2834,Mexican,Queens,6135,JUNCTION BLVD,11374.0,40.733428169799,-73.864170033452,406.0,29.0,71702.0,4615634.0,4020807501.0,QN18
50057392,VINTNER WINE MARKET (BEERS & CHEESE),Sandwiches,Manhattan,677,9TH AVE,10036.0,40.761403201746,-73.990470137081,104.0,3.0,12700.0,1081687.0,1010560032.0,MN15
50057399,NEW TERRITORIES,"Ice Cream, Gelato, Yogurt, Ices",Manhattan,190,ORCHARD ST,10002.0,40.72211719715,-73.98815965837301,103.0,1.0,3001.0,1005393.0,1004120010.0,MN27
50057403,PIG BLEECKER,American,Manhattan,155,BLEECKER ST,10012.0,40.728480176716,-73.999787127631,102.0,1.0,6500.0,1008681.0,1005390035.0,MN23
50057406,ALEXIS CARIBBEAN CUISINE,Caribbean,Queens,16210,JAMAICA AVE,11432.0,40.704356175082005,-73.797595670547,412.0,27.0,44601.0,4215623.0,4101020004.0,QN61
50057409,NEW CHOI H II CHINESE RESTAURANT,Chinese,Queens,5907,GRAND AVE,11378.0,40.720642482668,-73.907790230048,405.0,30.0,53100.0,4443053.0,4026950014.0,QN30
50057413,SPRINKLES CUPCAKES,Bakery,Manhattan,2,PENN PLZ,10121.0,40.750009774218,-73.991345194031,105.0,3.0,10100.0,1083026.0,1007810002.0,MN17
50057414,ALEEF CAFE,Café/Coffee/Tea,Manhattan,333,W 39TH ST,10018.0,40.755784814414,-73.992250423011,104.0,3.0,11500.0,1013681.0,1007630018.0,MN15
50057415,KENNEDY CHICKEN,Chicken,Queens,14401,243RD ST,11422.0,40.660226029481,-73.739405091913,413.0,31.0,65400.0,4288434.0,4135690032.0,QN05
50057416,KENNEDY FRIED CHICKEN,Chicken,Queens,11518,LEFFERTS BLVD,11420.0,40.676252953267,-73.819297941547,410.0,28.0,10200.0,4438883.0,4116620014.0,QN55
50057422,BELLA NAPOLI,Pizza,Bronx,769,ALLERTON AVE,10467.0,40.865487021788,-73.864719971896,211.0,15.0,33800.0,2053698.0,2045110060.0,BX07
50057426,DENNY'S,American,Queens,8710,NORTHERN BLVD,11372.0,40.756054985164,-73.880514498644,403.0,25.0,27900.0,4035342.0,4014350001.0,QN28
50057432,LODRICKA,Caribbean,Queens,10323,MERRICK BLVD,11433.0,40.70172477696,-73.79042663078201,412.0,27.0,44000.0,4462188.0,4102210002.0,QN01
50057443,VERITABLE,American,Manhattan,1201,2ND AVE,10065.0,40.763277598194,-73.962402905614,108.0,4.0,11000.0,1043864.0,1014180021.0,MN31
50057445,ING CAFE,American,Manhattan,1133,AVENUE OF THE AMERICAS,10036.0,40.755934826188,-73.983324114204,105.0,4.0,11900.0,1080824.0,1009960029.0,MN17
50057456,KENNEDY FRIED CHICKEN,American,Brooklyn,1429,NOSTRAND AVE,11226.0,40.651390379139,-73.949625784635,317.0,40.0,81800.0,3108543.0,3048690008.0,BK95
50057465,ROYAL FRIED CHICKEN,Chicken,Queens,11701,GY BREWER BLVD,,0.0,0.0,,,,,4.0,
50057467,PALACE FRIED CHICKEN,Chicken,Queens,2102,36TH AVE,11106.0,40.759799639461,-73.936645986291,401.0,26.0,3300.0,4004269.0,4003480019.0,QN68
50057474,DUNKIN',Café/Coffee/Tea,Bronx,1929,BRUCKNER BLVD,10472.0,40.826465641093,-73.85834979133399,209.0,18.0,4001.0,2025623.0,2037870001.0,BX55
50057478,ZENON TAVERNA,Greek,Queens,3410,31ST AVE,11106.0,40.763102798437,-73.920910930575,401.0,22.0,6100.0,4008965.0,4006240041.0,QN70
50057481,FINE & RARE,American,Manhattan,9,E 37TH ST,10016.0,40.750006001323,-73.982369172239,105.0,4.0,8200.0,1017192.0,1008670009.0,MN20
50057482,KORONI SOUVLAKI AND GRILL,Greek,Queens,2937,NEWTOWN AVE,11102.0,40.768537764861996,-73.921413487653,401.0,22.0,6900.0,4007748.0,4005970001.0,QN71
50057488,THREE BROTHERS BAR,Mexican,Brooklyn,4910,3RD AVE,11220.0,40.648112334334996,-74.014137093295,307.0,38.0,2000.0,3012840.0,3007810042.0,BK32
50057493,CHINA WOK,Chinese,Bronx,3839,E TREMONT AVE,10465.0,40.82398013547,-73.820018939609,210.0,13.0,15800.0,2097489.0,2054390022.0,BX52
50057502,BLUESTONE LANE,Café/Coffee/Tea,Manhattan,90,WATER ST,10005.0,40.704496084847996,-74.00838919155301,101.0,1.0,700.0,1000862.0,1000310034.0,MN25
50057504,JOE COFFEE,Café/Coffee/Tea,Manhattan,10,HUDSON YARDS,10001.0,40.752450190639,-74.000703815358,104.0,3.0,9900.0,1089323.0,1007020010.0,MN13
50057511,GAW GAI,Thai,Queens,2306,JACKSON AVE,11101.0,40.745879991167996,-73.94545068388899,402.0,26.0,1900.0,4000731.0,4000850102.0,QN31
50057515,MARAMANA,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Manhattan,5009,BROADWAY,10034.0,40.869192632236,-73.916987809379,112.0,10.0,30300.0,1065002.0,1022430030.0,MN01
50057532,BLACK CAT LES,Café/Coffee/Tea,Manhattan,172,RIVINGTON ST,10002.0,40.71894382413,-73.98460684857099,103.0,1.0,2201.0,1004122.0,1003440170.0,MN28
50057533,DUNKIN',Donuts,Manhattan,750,8TH AVE,10036.0,40.759871379059,-73.987849705278,105.0,3.0,12500.0,1024736.0,1010187502.0,MN17
50057543,VICTORIAS PIZZA,Pizza/Italian,Brooklyn,2716,GERRITSEN AVE,11229.0,40.592841719984996,-73.925153296262,315.0,46.0,62800.0,3249801.0,3089250183.0,BK17
50057547,GREAT DRAGON,Chinese,Queens,14136,ROCKAWAY BLVD,11436.0,40.674110768044,-73.798776543493,412.0,28.0,79000.0,4261779.0,4120560034.0,QN76
50057552,CROWN FRIED CHICKEN,American,Brooklyn,790,NEW LOTS AVE,11208.0,40.667001591438996,-73.881208132457,305.0,42.0,112000.0,3097083.0,3043140001.0,BK82
50057564,AMBER,Japanese,Manhattan,135,CHRISTOPHER ST,10014.0,40.73296766109,-74.00689175783,102.0,3.0,7500.0,1011740.0,1006300051.0,MN23
50057566,DOMINO'S,Pizza,Queens,24722D,S CONDUIT AVE,11422.0,40.665341299459,-73.730654702608,413.0,31.0,65600.0,,4.0,QN05
50057568,JUNKO SUSHI,Japanese,Queens,3302,BROADWAY,11106.0,40.761150394183,-73.923663913417,401.0,22.0,5900.0,4008764.0,4006210033.0,QN70
50057571,FOREVER INK BAR,American,Brooklyn,1051,FLATBUSH AVE,11226.0,40.645259178385,-73.958022957884,314.0,40.0,79200.0,3117869.0,3051320057.0,BK95
50057574,RUNNING KIDS,Asian,Brooklyn,856,64TH ST,11220.0,40.632489409274996,-74.01070390864801,310.0,38.0,12000.0,3328756.0,3057420027.0,BK34
50057576,SWEET POLLY,American,Brooklyn,71,6TH AVE,11217.0,40.680523469221,-73.974574707375,308.0,35.0,16100.0,3028034.0,3011430008.0,BK64
50057580,JADE BAKERY,Bakery,Brooklyn,6223,8TH AVE,11220.0,40.634171941302,-74.01091314705201,310.0,38.0,12000.0,3141388.0,3057280001.0,BK34
50057582,JIMMY'S HOUSE/IF CHA,Chinese,Manhattan,162,E 25TH ST,10010.0,40.740264876926,-73.982606321923,106.0,2.0,6800.0,1018080.0,1008800050.0,MN21
50057583,NICANDRAS,Italian,Brooklyn,264,IRVING AVE,11237.0,40.699788355387,-73.915760586501,304.0,37.0,43300.0,3075717.0,3033090027.0,BK77
50057586,ZUCKER'S BAGELS AND SMOKED FISH,Bagels/Pretzels,Manhattan,273,COLUMBUS AVE,10023.0,40.777878343032,-73.978436940505,107.0,6.0,15700.0,1028646.0,1011250062.0,MN14
50057588,ELLA KITCHEN AND BAR,Mediterranean,Manhattan,249,COLUMBUS AVE,10023.0,40.77705777194,-73.979032964257,107.0,6.0,15700.0,1028626.0,1011240062.0,MN14
50057589,TOUS LES JOURS,Bakery,Queens,3916,PRINCE ST,11354.0,40.75947767553,-73.832243080099,407.0,20.0,87100.0,4539244.0,4049737501.0,QN22
50057592,GOOD STORY,American,Manhattan,231,HUDSON ST,10013.0,40.724274927162,-74.007839700964,102.0,3.0,3700.0,1088827.0,1005940115.0,MN24
50057594,ARLO LIQUOR BAR BODEGA,Café/Coffee/Tea,Manhattan,231,HUDSON ST,10013.0,40.724274927162,-74.007839700964,102.0,3.0,3700.0,1088827.0,1005940115.0,MN24
